T_set,Time,T_S,alpha,beta,Nbr,Type
175,5,160,45,180,Mv2-16,M-i 3v2r
175,5,170,40,180,Mv2-33,M-i 3v2r
175,5,170,35,180,Mv2-13,M-i 3v2r
175,5,170,55,175,Mv2-32,M-i 3v2r
175,5,170,50,175,Mv2-15,M-i 3v2r
175,5,170,45,180,Mv2-8,M-i 3v2r
175,5,170,35,170,Mv2-38,M-i 3v2r
175,5,170,60,180,Mv2-6,M-i 3v2f
175,5,165,60,180,Mv2-24,M-i 3v2f
175,5,170,30,180,Mv2-14,M-i 3v2f
175,5,165,30,160,Mv2-36,M-i 3v2f
175,5,170,65,180,Mv2-26,M-i 3v2f
175,5,170,45,180,Mv2-31,M-i 3v2f
175,5,175,45,175,Mv2-28,M-i 3v2f
